Currency,Event,R²,MSE,Samples
EUR,Unemployment,0.8683274241328834,2683570073.8550506,34
EUR,Unemployment Change,0.08331274257745414,1666168688262667.0,93
EUR,Unemployment Rate,-0.26967341300763636,4890392428476.667,178
EUR,Unemployment n.s.a.,0.7470758701743948,6221041034.959424,34
EUR,Wage Costs y/y,-1.0724600897958192,1031624556894.6532,9
EUR,Wholesale Price Index m/m,0.15941326905163533,1315196707737.9788,47
EUR,Wholesale Price Index y/y,0.8903823584881054,9676722683717.977,46
EUR,ZEW Economic Sentiment Indicator,0.7869128380426855,262577045045151.16,101
EUR,ZEW Economic Situation,0.7358093981365077,152474698027645.6,43
USD,10-Year Note Auction,0.3181322343915324,174006123248.2554,38
USD,10-Year TIPS Auction,-0.5427758972391032,191301133575.2085,16
USD,2-Year Note Auction,0.37895661766934474,250405923992.26248,38
USD,20-Year Bond Auction,-0.013430657509557964,82039947057.38232,13
USD,3-Month Bill Auction,0.9746252985144452,57017153138.541466,179
USD,3-Year Note Auction,0.04078436734731772,198073347050.14072,37
USD,30-Year Bond Auction,0.6007742784294328,116225606829.78493,38
USD,4-Week Bill Auction,0.9665292453180123,90078286974.2756,178
USD,5-Year Note Auction,0.20439653040074524,202614522727.91116,38
USD,5-Year TIPS Auction,-0.7485058108716973,93814044602.88277,7
USD,52-Week Bill Auction,0.6605833499221354,244720318274.67078,43
USD,6-Month Bill Auction,0.9681490333905539,55736850990.15714,179
USD,7-Year Note Auction,0.28511110227478165,166451921510.96515,37
USD,8-Week Bill Auction,0.7800018235130539,47620145448.53041,99
USD,ADP Nonfarm Employment Change,-17.392349965937647,9.232094763194918e+17,51
USD,Average Hourly Earnings m/m,-0.4655811355295678,36354975048.56469,51
USD,Average Hourly Earnings y/y,0.2633082302818536,514636253454.3618,51
USD,Average Weekly Hours,0.7531472781813213,11924097597.639114,51
USD,Baker Hughes US Oil Rig Count,0.5158439670979511,2205601220945744.8,150
USD,Baker Hughes US Total Rig Count,0.9703115900247453,36164361011384.96,110
USD,Building Permits,0.6927982209853736,7550790445.950647,51
USD,Building Permits m/m,-0.7117361580576229,31810563726636.88,29
USD,Business Inventories m/m,0.5710609379099225,121733671582.67502,52
USD,CB Consumer Confidence Index,0.134726162892422,96218983824699.56,51
USD,CB Employment Trends Index,0.7351080756491369,4263074475805.572,37
USD,CB Leading Economic Index m/m,0.5878378109842773,178017309698.55453,51
USD,CFTC Aluminium Non-Commercial Net Positions,0.9044801015784959,296774678861.5452,88
USD,CFTC Copper Non-Commercial Net Positions,0.8366304451584187,104241120063250.97,155
USD,CFTC Corn Non-Commercial Net Positions,0.8991585449186439,3686928492536990.5,96
USD,CFTC Crude Oil Non-Commercial Net Positions,0.9477196915661988,684960622463757.4,237
USD,CFTC Gold Non-Commercial Net Positions,0.8519954246439627,452074535061527.6,225
USD,CFTC Nasdaq 100 Non-Commercial Net Positions,0.25917806112405806,106451961813829.06,86
USD,CFTC Natural Gas Non-Commercial Net Positions,0.5235285198670159,337688743624742.56,95
USD,CFTC S&P 500 Non-Commercial Net Positions,0.7804889209038982,2753158511457739.5,155
USD,CFTC Silver Non-Commercial Net Positions,0.8370715455891997,50837200964992.125,226
USD,CFTC Soybeans Non-Commercial Net Positions,0.8581362648871076,1078504342846881.4,96
USD,CFTC Wheat Non-Commercial Net Positions,0.7671999237259143,172120812304879.25,96
USD,CPI,0.6473466202584846,29501122853322.42,39
USD,CPI m/m,0.1883102478472255,81493526895.7451,51
USD,CPI n.s.a.,0.6453691283695949,29166242400500.207,39
USD,CPI n.s.a. m/m,0.08004559925970522,128733135240.33891,39
USD,CPI y/y,0.8434316580105606,719990455266.2222,51
USD,Challenger Job Cuts,0.20386827003288577,1698750019936427.0,37
USD,Challenger Job Cuts y/y,0.4296990947707713,1.0193249804470868e+16,49
USD,Chicago Fed National Activity Index,-6.142084434363852,417587770171.30664,39
USD,Cleveland Fed Median CPI m/m,0.49263789297650074,10816678100.598013,36
USD,Construction Spending m/m,0.10116136796986674,196396234939.61774,50
USD,Continuing Jobless Claims,0.5592004391516432,237813464339.81952,229
USD,Core CPI,0.7455238068553618,30285170158970.59,39
USD,Core CPI m/m,0.09506231065716664,33031443311.65161,51
USD,Core CPI n.s.a.,0.7459787453590829,29969022109689.43,39
USD,Core CPI n.s.a. m/m,0.08907334400335032,32388502600.385986,39
USD,Core CPI y/y,0.8192968442871763,307785445466.2121,52
USD,Core Durable Goods Orders m/m,-0.6892857354576403,259399971274.88226,50
USD,Core PCE Price Index m/m,-0.017295844267613214,23991904865.715958,50
USD,Core PCE Price Index q/q,0.40304648849526303,804192856184.1604,47
USD,Core PCE Price Index y/y,0.7687977056744774,202830185052.1325,49
USD,Core PPI m/m,0.24048050372029772,67469148722.838455,52
USD,Core PPI y/y,0.8555358375507498,769106985570.0739,51
USD,Core Retail Sales m/m,-0.6663410806830208,3312040625314.585,51
USD,Corporate Profits q/q,-0.12316043067273186,13332226626830.697,18
USD,Current Account,0.09579048081874109,1359381789712727.0,13
USD,Dallas Fed Manufacturing Index,0.05997905386426361,77401383286528.52,38
USD,Dallas Fed Services Business Activity,0.26385300293136804,44270150253562.33,34
USD,Dallas Fed Services Revenues,-0.18835451421405036,25544368468658.312,34
USD,Dallas Fed Trimmed Mean PCE Inflation Rate,0.06125810313561586,1273578813066.7559,34
USD,Durable Goods Orders excl. Defense m/m,-0.602929829838504,30512996199473.484,36
USD,Durable Goods Orders m/m,-0.6153505090809852,17570592076369.324,51
USD,EIA Crude Oil Imports Change,-0.6996113460008704,2384975309631.1045,141
USD,EIA Crude Oil Stocks Change,-0.13755772661458976,32244064961844.945,227
USD,EIA Cushing Crude Oil Stocks Change,0.23460165489141183,1253846492138.3157,141
USD,EIA Distillate Fuel Production Change,-0.4479415558418678,55756251157.883675,141
USD,EIA Distillates Stocks Change,-0.076009842241753,6728455221019.713,173
USD,EIA Gasoline Production Change,-0.5946097546515019,326699705902.5315,141
USD,EIA Gasoline Stocks Change,0.06851049842594725,9373926286561.857,196
USD,EIA Heating Oil Stocks Change,-0.5170767118859527,405821407556.8763,141
USD,EIA Natural Gas Storage Change,0.6554099350680439,3229299004245284.0,213
USD,EIA Refinery Crude Oil Daily Inputs Change,-0.13262767435597045,117158488390.66919,85
USD,EIA Refinery Utilization Rate Change,-0.03798743677837546,2791325653680.788,85
USD,Employment Benefits q/q,-0.7726146264039999,43207488155.119606,8
USD,Employment Cost Index q/q,-0.09313937306699827,34540618264.734344,13
USD,Employment Wages q/q,-0.2593386332891938,22038427114.669548,8
USD,Existing Home Sales,0.9051731022985394,77501530777.91086,51
USD,Existing Home Sales m/m,-0.30887887798529245,23561914517392.465,50
USD,Export Price Index m/m,0.025581156494025814,1862108285754.1218,40
USD,Export Price Index y/y,0.8389480726831209,9329241670398.691,39
USD,Exports,0.22620140428170832,60655239656919.73,22
USD,Factory Orders excl. Transportation m/m,-0.36869071574130063,734393514004.9086,36
USD,Factory Orders m/m,-0.6042816589675419,5076018594205.627,51
USD,Fed Capacity Utilization Rate,0.6419230501042892,766648076839.8243,51
USD,Fed Consumer Credit m/m,0.009710012325968131,176215924326398.12,50
USD,Fed Industrial Production m/m,-0.8001473388992908,603343535626.4695,51
USD,Fed Industrial Production y/y,0.01508856017916349,638666237827.6467,22
USD,Fed Interest Rate Decision,0.8984991918848371,473941167459.4771,34
USD,Fed Labor Market Conditions Index,-0.7781577755861531,1817054924563.22,8
USD,Fed Manufacturing Production m/m,-0.8264405215527924,544851371464.21173,34
USD,Federal Budget Balance,-0.45413574333559903,4.030603156774094e+16,49
USD,GDP Price Index q/q,0.6990743006138729,1358855806839.9329,48
USD,GDP Sales q/q,0.17369325128968693,2524673675973.2505,22
USD,GDP q/q,0.23276263461539837,4288885798763.1274,50
USD,Goods Trade Balance,0.3830992875811793,243105733508486.6,30
USD,Government Payrolls,-0.38132381333315934,3755927371464684.0,49
USD,HPI,0.34335866310169505,162201909829183.72,36
USD,HPI m/m,0.5513889894534423,192168432910.54584,49
USD,HPI y/y,0.8073907337175907,3221002157855.0728,36
USD,Housing Starts,0.45387998429072896,11581613696.021072,51
USD,Housing Starts m/m,-0.5952880414671644,134961978354942.31,29
USD,ISM Manufacturing Employment,-0.04147750966741892,6178566052264.032,36
USD,ISM Manufacturing New Orders,-0.12964491440428327,8174550236977.969,36
USD,ISM Manufacturing PMI,0.9155157813379897,2440334890039.0522,51
USD,ISM Manufacturing Prices Paid,0.6459820888162486,57588188740901.43,44
USD,ISM Non-Manufacturing Business Activity,-0.2537770647243607,13474881196662.453,36
USD,ISM Non-Manufacturing Employment,-0.141191644821959,7246108818496.955,36
USD,ISM Non-Manufacturing New Orders,0.011611730387991792,15081035550803.936,36
USD,ISM Non-Manufacturing PMI,0.6739547949526505,7365472583160.696,51
USD,ISM Non-Manufacturing Prices Paid,0.6480626309288533,12513553986734.94,36
USD,ISM-NY Business Conditions Index,0.760296039079412,243149964517248.66,24
USD,ISM-NY Current Business Conditions,0.05555260654359817,218587256040379.84,19
USD,Import Price Index excl. Petroleum m/m,-0.3956007662704131,84572260018.76454,22
USD,Import Price Index m/m,-0.011273156736233636,540519904994.6111,51
USD,Import Price Index y/y,0.8052124155761657,5934869198035.186,52
USD,Imports,0.5961913789207247,321503117937140.44,22
USD,Initial Jobless Claims,0.18019490695712015,1.91293836502424e+16,234
USD,Initial Jobless Claims 4-Week Average,-50.99660013795662,1.3379198176950272e+16,171
USD,JOLTS Job Openings,0.9017553066631481,147091872499.088,36
USD,Kansas City Fed Manufacturing Composite Index,0.32851939512755945,33681242534553.6,37
USD,Kansas City Fed Manufacturing Production,-0.4740838895514068,121429580757340.84,37
USD,MNI Chicago Business Barometer,0.792573485343822,22874497963644.996,50
USD,Manufacturing Payrolls,-8.089381623025414,2475528807329047.0,34
USD,Michigan 5-Year Inflation Expectations,0.7990210845413324,32867090559.69181,71
USD,Michigan Consumer Expectations,0.7155074256854665,23125117950146.56,75
USD,Michigan Consumer Sentiment,0.7336400636607026,18257818736226.453,99
USD,Michigan Current Conditions,0.577025190513899,22659183528596.76,77
USD,Michigan Inflation Expectations,0.7911416605145714,232942189974.49222,92
USD,NAHB Housing Market Index,0.8622159067318335,39599203305598.41,50
USD,NFIB Small Business Optimism,0.568652681285269,6558837316449.759,40
USD,NY Fed Empire State Manufacturing Index,0.11256490391363727,310316624500431.5,50
USD,New Home Sales,0.28537159222310315,4734266433.42005,51
USD,New Home Sales m/m,-0.5162818538518621,137245004085640.6,50
USD,Nondefense Capital Goods Orders excl. Aircraft m/m,-0.49736171633954185,454199665883.22327,36
USD,Nondefense Capital Goods Shipments excl. Aircraft m/m,-0.2755061632417186,187605675812.46146,48
USD,Nonfarm Payrolls,-18.06147366484823,7.060370850179816e+17,52
USD,Nonfarm Productivity q/q,0.002178349986576622,13854084319424.836,31
USD,PCE Price Index m/m,0.04738815453620426,49631075922.21489,50
USD,PCE Price Index q/q,0.7840679790396952,657742512311.0438,37
USD,PCE Price Index y/y,0.8878482968398461,280415300896.2076,46
USD,PPI m/m,0.12167180121185994,186267952640.87537,52
USD,PPI y/y,0.8478209719130418,1823835799313.1567,52
USD,Participation Rate,0.3412786964143818,21998038595.050583,36
USD,Pending Home Sales Index,-0.0044729362659508,21988364603104.766,34
USD,Pending Home Sales m/m,-0.4220090116226878,30774690689781.13,50
USD,Pending Home Sales y/y,0.7067332583684316,38007297095784.74,38
USD,Personal Income m/m,-0.7116949656048783,21240087254233.76,50
USD,Personal Spending m/m,-1.4878390842321876,372047482728.3078,39
USD,Philadelphia Fed Business Conditions,0.40316262834698,216472124379885.38,37
USD,Philadelphia Fed Capex Index,0.17793713162602431,87059290501268.08,37
USD,Philadelphia Fed Employment,0.4136901962928887,74789835139540.33,37
USD,Philadelphia Fed Manufacturing Index,0.4924806336097671,201244769013237.06,52
USD,Philadelphia Fed New Orders,0.02646247279060776,276969524876992.1,37
USD,Philadelphia Fed Prices Paid,0.6509608031326254,92936750840853.67,37
USD,Private Nonfarm Payrolls,-25.011315253114617,6.137867963426784e+17,48
USD,Real Earnings m/m,-0.43265821740277755,153612806768.57336,36
USD,Real PCE m/m,-1.7731159424141438,262675609595.37115,36
USD,Real PCE q/q,-0.20241650927147248,1408388111946.6533,35
USD,Retail Control m/m,-0.9993981078456373,561189829113.5084,33
USD,Retail Inventories excl. Autos m/m,0.06590616494771351,119792508780.7765,55
USD,Retail Inventories m/m,0.12969361036111215,122378028337.12175,55
USD,Retail Sales excl. Autos and Gas m/m,-0.7472739043484935,570630182269.2444,34
USD,Retail Sales m/m,-0.5423120955358458,4070078485764.6514,51
USD,Retail Sales y/y,0.4935197183439729,39772687849208.36,51
USD,Richmond Fed Manufacturing Index,0.46234517377212425,64759170026704.65,48
USD,Richmond Fed Manufacturing Shipments,-0.1734082704141735,98201891634238.22,34
USD,Richmond Fed Services Revenues,-0.06720450796297817,87212586292753.72,34
USD,S&P Global Composite PMI,0.5771056018281286,4722269894818.834,68
USD,S&P Global Manufacturing PMI,0.8888198819961467,2116225905032.9233,75
USD,S&P Global Services PMI,0.6301871894211235,5104808608859.511,70
USD,S&P/CS HPI Composite-20 n.s.a. m/m,0.34714513494356714,666003738849.6321,37
USD,S&P/CS HPI Composite-20 s.a. m/m,0.417195054484668,283250274993.7012,37
USD,S&P/CS HPI Composite-20 y/y,0.8626045298763643,7368205123638.476,48
USD,TIC Net Foreign Purchases of Domestic Treasury Bonds & Notes,-0.34617474439870977,2136431833272726.5,34
USD,TIC Net Long-Term Transactions,-0.35430301330410896,4890997541205599.0,48
USD,TIC Net Long-Term Transactions incl. Swaps,-0.24856885481038082,5736472484490254.0,47
USD,TIC Overall Net Capital Flow,-0.26935826179634215,1.4160544980024728e+16,48
USD,Trade Balance,0.325790792484284,188991436747226.16,51
USD,U6 Unemployment Rate,0.36040344047327344,302406469298.6044,48
USD,Unemployment Rate,0.6577249407427336,157180710362.17252,51
USD,Unit Labor Costs q/q,0.1553589232313647,12238488441543.14,31
USD,Wholesale Inventories m/m,0.7454231509996903,148644980709.1122,79
USD,Wholesale Sales m/m,-0.33045115822006577,2771683371063.987,52
ZAR,Absa Manufacturing PMI,-0.16939463898609985,11860045852234.51,33
ZAR,Building Permits m/m,-0.6868185040714103,367764360229879.94,44
ZAR,Building Permits y/y,-2.1464644035852802,1121522024240449.1,44
ZAR,CFTC ZAR Non-Commercial Net Positions,0.7543177203495046,27813167015423.426,81
ZAR,CPI m/m,-0.20628496553648024,184299905854.4698,37
ZAR,CPI y/y,0.8569400649024629,368382314183.5713,38
ZAR,Core CPI m/m,-0.24347096222995668,109890132786.6889,34
ZAR,Core CPI y/y,0.7860493397005146,95411626146.6971,34
ZAR,Current Account,-0.7255636196119393,3920063054869075.0,9
ZAR,Current Account - GDP Ratio,-0.7968724043175626,919962266995.6787,8
ZAR,GDP q/q,-2.100668283556003,950871700053.7488,9
ZAR,GDP y/y,-2.1963140565008175,1374414273661.7896,8
ZAR,Gold Production y/y,0.5548937053701792,75724186629592.31,36
ZAR,Gross International Reserves,0.09506900912392358,6076512823927.623,34
ZAR,Manufacturing Production m/m,-1.0009636808376525,9277925161492.47,36
ZAR,Manufacturing Production y/y,-0.11229579220808317,11759300941231.863,36
ZAR,Mining Production m/m,-0.4808711278716644,11771589048844.266,36
ZAR,Mining Production y/y,0.17279691151634513,16925624936670.664,36
ZAR,Net International Reserves,0.39722860728643905,7197377998862.75,34
ZAR,PPI m/m,0.168037370569042,555525118885.1935,38
ZAR,PPI y/y,0.881208689576167,3488115727795.354,34
ZAR,Retail Sales m/m,-2.178928807300155,3101811136545.208,38
ZAR,Retail Sales y/y,-0.010339260049157417,8222622449545.372,38
ZAR,S&P Global PMI,-0.4791040585800068,1500970824780.5703,34
ZAR,SARB Interest Rate Decision,-0.20820651173149707,769287736656.5062,16
ZAR,SARB M3 Money Supply y/y,0.6266572145063478,1154266751813.934,34
ZAR,SARB Prime Rate,-0.20820651173149707,769287736656.5062,16
ZAR,SARB Private Sector Credit y/y,0.7391119198928544,932818075420.4885,34
ZAR,Total New Vehicle Sales,-0.3349338118559644,14976104827070.64,34
ZAR,Total New Vehicle Sales m/m,-28.186160299916338,2070292109640679.5,16
ZAR,Total New Vehicle Sales y/y,-208.93864381851725,1.7892972732285884e+16,34
ZAR,Trade Balance,-0.18770558666473858,207550688677220.1,39
ZAR,Unemployment,-1.856750920991407,86958848821.41583,9
ZAR,Unemployment Rate,-0.7155918070182059,436618361939.73047,10
